Epoch,Train Loss,Validation Loss,Validation Accuracy
1,1.0960,0.3730,0.8444
2,0.4723,0.2784,0.8761
3,0.3714,0.2238,0.8987
4,0.3443,0.2133,0.9067
5,0.3090,0.1914,0.9091
6,0.2842,0.1905,0.9189
7,0.2798,0.1892,0.9121
8,0.2711,0.1973,0.9042
9,0.2874,0.1517,0.9317
10,0.2581,0.1407,0.9414
11,0.2583,0.1306,0.9481
12,0.2559,0.1371,0.9457
13,0.2404,0.1407,0.9414
14,0.2339,0.1451,0.9365
15,0.2270,0.1378,0.9420
16,0.2376,0.1296,0.9475
17,0.2267,0.1386,0.9402
18,0.2136,0.1295,0.9433
19,0.1833,0.1144,0.9475
20,0.1713,0.1113,0.9451
21,0.1575,0.1126,0.9463
22,0.1654,0.1115,0.9487
23,0.1483,0.1123,0.9457
24,0.1590,0.1113,0.9506
25,0.1469,0.1105,0.9475
26,0.1498,0.1102,0.9524
27,0.1541,0.1065,0.9530
28,0.1457,0.1076,0.9524
29,0.1442,0.1077,0.9524
30,0.1475,0.1075,0.9524
