Epoch,Train Loss,Validation Loss,Validation Accuracy
1,1.6154,4.4135,0.0574
2,0.7319,0.7679,0.7370
3,0.5036,1.1319,0.6205
4,0.4243,0.3443,0.8761
5,0.3447,0.4148,0.8548
6,0.3011,0.3643,0.8560
7,0.2549,2.5827,0.3850
8,0.2446,0.2893,0.8969
9,0.2184,0.2388,0.9054
10,0.2019,0.4369,0.8536
11,0.1385,0.1650,0.9353
12,0.1194,0.1588,0.9420
13,0.1034,0.1538,0.9445
14,0.0961,0.1627,0.9426
15,0.0901,0.1427,0.9457
16,0.0775,0.1548,0.9451
17,0.0801,0.1519,0.9469
18,0.0788,0.1480,0.9500
19,0.0685,0.1448,0.9524
20,0.0649,0.1659,0.9475
21,0.0627,0.1508,0.9524
22,0.0599,0.1461,0.9549
23,0.0639,0.1456,0.9536
24,0.0593,0.1453,0.9524
25,0.0597,0.1429,0.9567
26,0.0565,0.1427,0.9549
27,0.0599,0.1414,0.9555
28,0.0524,0.1452,0.9518
29,0.0568,0.1447,0.9542
30,0.0507,0.1474,0.9542
31,0.0522,0.1476,0.9549
32,0.0601,0.1473,0.9530
33,0.0566,0.1419,0.9555
34,0.0592,0.1434,0.9530
35,0.0589,0.1429,0.9512
36,0.0493,0.1435,0.9524
37,0.0560,0.1376,0.9573
38,0.0485,0.1409,0.9542
39,0.0531,0.1420,0.9555
40,0.0529,0.1454,0.9524
41,0.0527,0.1410,0.9561
42,0.0556,0.1451,0.9512
43,0.0573,0.1424,0.9542
44,0.0576,0.1449,0.9549
45,0.0587,0.1402,0.9549
46,0.0542,0.1444,0.9555
47,0.0556,0.1421,0.9530
48,0.0506,0.1427,0.9549
49,0.0510,0.1436,0.9561
50,0.0563,0.1467,0.9542
