Epoch,Train Loss,Validation Loss,Validation Accuracy
1,0.6954,0.3750,0.8714
2,0.3223,0.3408,0.8894
3,0.2601,0.1649,0.9346
4,0.2160,0.2185,0.9181
5,0.2243,0.1828,0.9210
6,0.1738,0.1654,0.9318
7,0.1716,0.1230,0.9533
8,0.1437,0.1157,0.9490
9,0.1253,0.1434,0.9526
10,0.1322,0.1262,0.9576
11,0.0819,0.1016,0.9670
12,0.0548,0.0931,0.9691
13,0.0581,0.0918,0.9655
14,0.0548,0.0855,0.9691
15,0.0393,0.0839,0.9720
16,0.0416,0.0830,0.9705
17,0.0322,0.0739,0.9763
18,0.0386,0.0809,0.9756
19,0.0330,0.0800,0.9720
20,0.0295,0.0789,0.9734
21,0.0252,0.0815,0.9713
22,0.0335,0.0744,0.9741
23,0.0403,0.0793,0.9734
24,0.0280,0.0799,0.9734
25,0.0214,0.0736,0.9727
26,0.0226,0.0807,0.9741
27,0.0262,0.0805,0.9727
28,0.0234,0.0742,0.9734
29,0.0208,0.0771,0.9741
30,0.0215,0.0858,0.9734
31,0.0217,0.0804,0.9734
32,0.0232,0.0826,0.9756
33,0.0215,0.0817,0.9741
34,0.0250,0.0799,0.9720
35,0.0322,0.0780,0.9741
