Epoch,Train Loss,Validation Loss,Validation Accuracy
1,0.5743,0.3997,0.8671
2,0.2954,0.3024,0.9073
3,0.2405,0.1269,0.9540
4,0.1958,2.1083,0.9059
5,0.1545,0.9709,0.9095
6,0.1427,0.2304,0.9353
7,0.1306,0.1261,0.9454
8,0.1156,0.1335,0.9547
9,0.1379,0.1611,0.9497
10,0.1131,0.2080,0.9325
11,0.0767,0.1818,0.9454
12,0.0497,0.1184,0.9598
13,0.0475,0.1629,0.9526
14,0.0396,0.1090,0.9648
15,0.0331,0.1546,0.9562
16,0.0266,0.1145,0.9626
17,0.0233,0.1186,0.9569
18,0.0278,0.1658,0.9547
19,0.0232,0.1158,0.9677
20,0.0245,0.1975,0.9562
21,0.0196,0.1817,0.9598
22,0.0325,0.0852,0.9713
23,0.0278,0.1804,0.9519
24,0.0244,0.1230,0.9569
25,0.0253,0.2582,0.9468
26,0.0215,0.0968,0.9691
27,0.0190,0.1361,0.9519
28,0.0191,0.1020,0.9698
29,0.0178,0.0753,0.9741
30,0.0135,0.1412,0.9562
31,0.0145,0.0823,0.9741
32,0.0208,0.1527,0.9562
33,0.0173,0.1195,0.9591
34,0.0192,0.1637,0.9555
35,0.0161,0.1121,0.9634
36,0.0264,0.1643,0.9569
37,0.0242,0.1152,0.9605
38,0.0224,0.1181,0.9569
39,0.0268,0.1761,0.9533
