Epoch,Train Loss,Validation Loss,Validation Accuracy
1,0.6996,0.2579,0.8937
2,0.3449,0.2986,0.8966
3,0.2803,0.1944,0.9231
4,0.2459,0.1811,0.9310
5,0.1910,0.1599,0.9375
6,0.1744,0.2088,0.9188
7,0.1759,0.2117,0.9138
8,0.1616,0.1922,0.9310
9,0.1529,0.1823,0.9411
10,0.1407,0.2005,0.9267
11,0.0813,0.1341,0.9576
12,0.0468,0.1149,0.9648
13,0.0561,0.0987,0.9641
14,0.0461,0.1040,0.9626
15,0.0462,0.1067,0.9662
16,0.0339,0.1110,0.9662
17,0.0448,0.1041,0.9641
18,0.0313,0.1127,0.9634
19,0.0363,0.1008,0.9648
20,0.0286,0.1042,0.9641
21,0.0266,0.1055,0.9698
22,0.0265,0.1025,0.9662
23,0.0256,0.0954,0.9677
24,0.0246,0.0969,0.9684
25,0.0234,0.0908,0.9684
26,0.0194,0.0959,0.9677
27,0.0244,0.0977,0.9691
28,0.0226,0.0950,0.9691
29,0.0230,0.1018,0.9662
30,0.0227,0.1005,0.9670
31,0.0207,0.1052,0.9655
32,0.0222,0.0955,0.9698
33,0.0247,0.0947,0.9713
34,0.0240,0.0993,0.9713
35,0.0201,0.0939,0.9705
