Epoch,Train Loss,Validation Loss,Validation Accuracy
1,1.0405,0.6639,0.7425
2,0.6151,0.8501,0.7291
3,0.4775,0.5576,0.8060
4,0.4308,0.4240,0.8462
5,0.3623,0.4254,0.8334
6,0.3743,0.3086,0.8810
7,0.3636,0.2596,0.8883
8,0.2974,0.2823,0.8835
9,0.2756,0.2483,0.8987
10,0.2627,0.2506,0.9030
11,0.2493,0.2813,0.8987
12,0.2320,0.1979,0.9219
13,0.2271,0.2709,0.8963
14,0.2148,0.1807,0.9292
15,0.1956,0.3171,0.8652
16,0.1247,0.1254,0.9518
17,0.1023,0.1063,0.9573
18,0.0867,0.1061,0.9610
19,0.0839,0.1044,0.9603
20,0.0777,0.1077,0.9585
21,0.0773,0.1038,0.9634
22,0.0797,0.1128,0.9585
23,0.0691,0.1113,0.9610
24,0.0683,0.1081,0.9622
25,0.0650,0.1107,0.9610
26,0.0583,0.1048,0.9610
27,0.0548,0.1057,0.9652
28,0.0545,0.1042,0.9640
29,0.0534,0.1023,0.9646
30,0.0547,0.1056,0.9640
