Epoch,Train Loss,Validation Loss,Validation Accuracy
1,1.5280,0.7125,0.6992
2,0.9685,0.6441,0.7401
3,0.8745,0.5048,0.7883
4,0.8514,0.4927,0.7840
5,0.8055,0.4774,0.7968
6,0.7952,0.4418,0.8084
7,0.7659,0.4191,0.8255
8,0.7643,0.4211,0.8316
9,0.7219,0.4293,0.8212
10,0.7337,0.4156,0.8334
11,0.7152,0.3857,0.8395
12,0.6776,0.3833,0.8462
13,0.6569,0.3826,0.8432
14,0.6452,0.3736,0.8481
15,0.6434,0.3727,0.8475
16,0.6510,0.3685,0.8511
17,0.6440,0.3763,0.8414
18,0.6245,0.3713,0.8475
19,0.6260,0.3755,0.8426
20,0.6198,0.3706,0.8426
21,0.6210,0.3689,0.8432
22,0.6007,0.3669,0.8444
23,0.5989,0.3660,0.8444
24,0.5749,0.3648,0.8450
25,0.6147,0.3637,0.8469
26,0.6237,0.3637,0.8475
27,0.5994,0.3638,0.8462
28,0.5999,0.3624,0.8475
29,0.6181,0.3618,0.8493
30,0.5878,0.3612,0.8487
